OrderID,OrderDate,DeliveryDate,OriginCity,DestinationCity,Carrier,TransportMode,Warehouse,Weight_kg,Distance_km,ShippingCost_INR,CustomerRating,DeliveryStatus,TransitDays,Weight_kg_MinMax,Distance_km_MinMax,ShippingCost_INR_MinMax,Weight_kg_Zscore,Distance_km_Zscore,ShippingCost_INR_Zscore
ORD10831,2024-02-16,,Chennai,Delhi,Dhl,Sea,Wh-Central,26.2,1039.6124999999997,380.78,5.0,Cancelled,,0.34567319821713893,1.0,0.8410315071979345,-0.20101288930484343,2.423781694931217,1.6502378678084095
ORD10916,2024-03-12,,Kolkata,Hyderabad,Dhl,Road,Wh-South,74.82875000000001,110.5,456.51875000000007,2.0,Delayed,,1.0,0.07460066483236018,1.0,2.3917230738837714,-1.2590092914451003,2.430146247814299
ORD10515,2024-04-11,2024-04-12,Hyderabad,Chennai,Delhivery,Air,Wh-Central,46.05,147.1,282.71,4.0,Delivered,1.0,0.6127659574468084,0.1110543942430996,0.6351918268612701,0.8573282950623052,-1.113935201815079,0.6403768016147173
ORD10502,2024-01-14,2024-01-15,Pune,Mumbai,Delhivery,Air,Wh-Central,7.53,120.9,131.5,4.0,Delivered,1.0,0.09445799344041712,0.08495910160481074,0.31781629852735527,-1.1964400889086049,-1.217786052861706,-0.9166854174038221
ORD10491,2024-12-10,2024-12-13,Lucknow,Ahmedabad,Bluedart,Road,Wh-East,28.85,271.8,102.71,4.0,Delivered,3.0,0.38133041796316536,0.2352560351589249,0.25738880391236013,-0.05972300826842296,-0.6196527161084212,-1.2131461097227414
ORD11033,2024-09-10,2024-09-11,Delhi,Pune,Delhivery,Air,Wh-Central,21.65,159.5,169.95999999999998,4.0,Delivered,1.0,0.28445042469094267,0.12340483808717526,0.398540211097439,-0.4436049491975652,-1.0647844173502627,-0.520649355348052
ORD10245,2024-07-02,,Hyderabad,Lucknow,Ekart,Road,Wh-North,13.88,272.6,202.33,5.0,In Transit,,0.17990076528466906,0.23605283798757495,0.4664817880577513,-0.8578775437835976,-0.6164816977558524,-0.18732415179253198
ORD10116,2024-12-05,2024-12-15,Chennai,Hyderabad,Fedex,Rail,Wh-East,49.15,1039.6124999999997,381.7,5.0,Delivered,10.0,0.6544781767723488,1.0,0.84296250042634,1.022610797406797,2.423781694931217,1.6597114293552455
ORD10969,2024-04-16,2024-04-20,Jaipur,Pune,Ekart,Road,Wh-Central,11.62,508.2,116.28,4.0,Delivered,4.0,0.14949121184088804,0.47071127102501226,0.28587095403134183,-0.9783738196863563,0.3173832070756512,-1.0734110769069118
ORD10236,2024-07-07,2024-07-13,Mumbai,Ahmedabad,Dhl,Rail,Wh-East,42.32,769.6,356.6,3.0,Delivered,6.0,0.5625767387099486,0.7310665952864135,0.7902799677817977,0.6584561228865137,1.353513453777498,1.4012479567187448
ORD10913,2024-04-18,2024-04-27,Kolkata,Lucknow,Xpressbees,Sea,Wh-Central,24.45,1039.6124999999997,234.87,4.0,Delivered,9.0,0.3221259776301404,1.0,0.5347801789841821,-0.29431752772512104,2.423781694931217,0.1477516011792508
ORD10713,2024-10-09,2024-10-12,Bengaluru,Kolkata,Xpressbees,Road,Wh-East,9.44,441.5,173.79,1.0,Delivered,3.0,0.1201581027667984,0.404277835186315,0.4065790198635185,-1.0946047406899022,0.05299955193022979,-0.48121050673459376
ORD10956,2024-05-23,2024-05-27,Chennai,Kolkata,Dhl,Road,Wh-East,37.73,409.2,314.77,5.0,Delivered,4.0,0.5008157429989066,0.37210692097956954,0.702482743059837,0.4137313855441854,-0.07503031405473448,0.9705098268229337
ORD10685,2024-07-11,2024-07-19,Jaipur,Ahmedabad,Xpressbees,Sea,Wh-Central,16.99,536.7,189.68,5.0,Delivered,8.0,0.22174754015642076,0.49909737179567004,0.4399306311671752,-0.6920618720767044,0.430350735885914,-0.31758562306152566
ORD10930,2024-08-07,2024-08-08,Lucknow,Mumbai,Delhivery,Air,Wh-North,30.14,150.9,456.51875000000007,1.0,Delivered,1.0,0.39868808342443857,0.1148392076791873,1.0,0.009055839481381625,-1.098872864640377,2.430146247814299
ORD10509,2024-11-07,,Jaipur,Ahmedabad,Dhl,Road,Wh-North,47.55,239.2,289.09,4.0,In Transit,,0.6329492893785215,0.20278631989143567,0.6485828451191259,0.9373036994225431,-0.7488717139755988,0.7060738914721228
ORD10530,2024-05-23,2024-05-27,Lucknow,Jaipur,Fedex,Road,Wh-East,7.73,437.7,128.12,4.0,Delivered,4.0,0.09714910436464552,0.4004930217502273,0.31072199731864797,-1.1857767016605731,0.03793721475552807,-0.9514904587389367
ORD10295,2024-05-08,2024-05-13,Kolkata,Mumbai,Xpressbees,Road,Wh-East,16.24,413.1,153.4,4.0,Delivered,5.0,0.21165587419056425,0.3759913347692385,0.36378233298613927,-0.7320495742568234,-0.05957159958596158,-0.691173463191098
ORD10143,2024-02-03,2024-02-07,Delhi,Bengaluru,Ekart,Rail,Wh-Central,24.74,398.6,214.67,4.0,Delivered,4.0,0.32602808847027154,0.3615492834999565,0.4923822841865821,-0.27885561621547506,-0.1170463072262706,-0.060254858870842
ORD10160,2024-07-22,2024-07-23,Chennai,Lucknow,Delhivery,Air,Wh-North,27.29,90.9,230.66,4.0,Delivered,1.0,0.3603397527541838,0.055078995530434154,0.5259437860585436,-0.14289742880307055,-1.336699241083035,0.10439975975296903
ORD11164,2024-03-17,2024-03-19,Jaipur,Bengaluru,Fedex,Road,Wh-East,42.91,214.4,297.81,4.0,Delivered,2.0,0.5705155159364225,0.17808543220328438,0.6668853026753175,0.6899131152682071,-0.8471732829052308,0.7958667791769155
ORD10623,2024-03-19,2024-03-23,Lucknow,Jaipur,Dhl,Road,Wh-East,14.04,595.5,244.77,5.0,Delivered,4.0,0.18205365402405177,0.557662379701448,0.5555593452463721,-0.8493468339851724,0.6634205847997187,0.2496953613028111
ORD10403,2024-03-02,2024-03-08,Chennai,Hyderabad,Delhivery,Road,Wh-South,8.61,697.6,77.29,5.0,Delivered,6.0,0.1089899924312505,0.6593543407079097,0.2040346214492419,-1.1388577977692338,1.0681218020463086,-1.47490473420162
ORD10669,2024-12-30,2025-01-16,Mumbai,Chennai,Ekart,Sea,Wh-South,25.52,1039.6124999999997,269.125,4.0,Delivered,17.0,0.33652342107476235,1.0,0.6066781931570426,-0.2372684059481513,2.423781694931217,0.5004873085562765
ORD10351,2024-03-25,2024-03-29,Lucknow,Jaipur,Dhl,Road,Wh-Central,20.02,332.1,184.69,5.0,Delivered,4.0,0.26251787065848114,0.2953150483684218,0.4294570918087582,-0.5305115552690237,-0.38063720778354987,-0.3689693971036031
ORD11096,2024-05-16,2024-05-20,Jaipur,Bengaluru,Xpressbees,Road,Wh-South,5.56,515.0,112.75,2.0,Delivered,4.0,0.06795055083676729,0.4774840950685376,0.27846181697017713,-1.3014744533017175,0.34433686307248584,-1.1097607206681408
ORD10612,2024-03-17,,Hyderabad,Jaipur,Delhivery,Rail,Wh-East,39.22,372.2,300.73,2.0,Delayed,,0.5208645193844084,0.3352547901545051,0.6730141072698221,0.49317362054202185,-0.22168991286104026,0.8259350397386123
