OrderID,OrderDate,DeliveryDate,OriginCity,DestinationCity,Carrier,TransportMode,Warehouse,Weight_kg,Distance_km,ShippingCost_INR,CustomerRating,DeliveryStatus
ORD10831,2024-02-16,,Chennai,Delhi,DHL,Sea,WH-Central,26.2,1697.8,380.78,5.0,Cancelled
ORD10916,2024-03-12,,Kolkata,Hyderabad,DHL,Road,WH-South,88.37,110.5,491.02,2.0,Delayed
ORD10515,2024-04-11,2024-04-12,Hyderabad,Chennai,,Air,WH-Central,46.05,147.1,282.71,4.0,Delivered
ORD10502,2024-01-14,2024-01-15,Pune,Mumbai,Delhivery,Air,WH-Central,7.53,120.9,131.5,4.0,Delivered
ORD10491,2024-12-10,2024-12-13,Lucknow,Ahmedabad,BlueDart,Road,WH-East,28.85,271.8,102.71,,Delivered
ORD11033,2024-09-10,2024-09-11,Delhi,Pune,Delhivery,Air,WH-Central,21.65,159.5,,4.0,Delivered
ORD10245,2024-07-02,,Hyderabad,Lucknow,Ekart,Road,WH-North,13.88,272.6,,5.0,In Transit
ORD10116,2024-12-05,2024-12-15,chennai,Hyderabad,FedEx,Rail,WH-East,49.15,1223.5,381.7,5.0,Delivered
ORD10969,2024-04-16,2024-04-20,Jaipur,Pune,Ekart,Road,WH-Central,11.62,508.2,116.28,4.0,Delivered
ORD10236,2024-07-07,2024-07-13,Mumbai,Ahmedabad,DHL,Rail,WH-East,42.32,769.6,356.6,3.0,Delivered
ORD10913,2024-04-18,2024-04-27,Kolkata,Lucknow,XpressBees,Sea,WH-Central,24.45,1136.1,234.87,4.0,Delivered
ORD10713,2024-10-09,2024-10-12,Bengaluru,Kolkata,XpressBees,Road,WH-East,9.44,441.5,173.79,1.0,Delivered
ORD10956,2024-05-23,2024-05-27,Chennai,Kolkata,DHL,Road,WH-East,37.73,409.2,314.77,5.0,Delivered
ORD10685,2024-07-11,2024-07-19,Jaipur,Ahmedabad,XpressBees,Sea,WH-Central,16.99,536.7,189.68,5.0,Delivered
ORD10930,2024-08-07,2024-08-08,Lucknow,Mumbai,Delhivery,Air,WH-North,30.14,150.9,2215.2479794834926,1.0,Delivered
ORD10509,2024-11-07,,Jaipur,Ahmedabad,DHL,Road,WH-North,47.55,239.2,289.09,4.0,In Transit
ORD10530,23/05/2024,2024-05-27,Lucknow,Jaipur,FedEx,Road,WH-East,7.73,437.7,128.12,4.0,Delivered
ORD10295,2024-05-08,2024-05-13,Kolkata,Mumbai,  XpressBees  ,Road,WH-East,16.24,413.1,153.4,4.0,Delivered
ORD10143,2024-02-03,2024-02-07,Delhi,Bengaluru,Ekart,Rail,WH-Central,24.74,398.6,214.67,4.0,Delivered
ORD10160,2024-07-22,2024-07-23,Chennai,Lucknow,Delhivery,Air,WH-North,27.29,90.9,230.66,4.0,Delivered
ORD11164,2024-03-17,2024-03-19,Jaipur,Bengaluru,FedEx,Road,WH-East,42.91,214.4,297.81,4.0,Delivered
ORD10623,2024-03-19,2024-03-23,Lucknow,Jaipur,DHL,Road,WH-East,14.04,595.5,244.77,5.0,Delivered
ORD10403,2024-03-02,2024-03-08,Chennai,Hyderabad,Delhivery,Road,WH-South,8.61,697.6,77.29,5.0,Delivered
ORD10669,2024-12-30,2025-01-16,Mumbai,Chennai,Ekart,Sea,WH-South,,1988.3,,4.0,Delivered
ORD10351,2024-03-25,2024-03-29,Lucknow,Jaipur,DHL,Road,WH-Central,20.02,332.1,184.69,5.0,Delivered
ORD11096,2024-05-16,2024-05-20,Jaipur,Bengaluru,XpressBees,Road,WH-South,5.56,515.0,112.75,2.0,Delivered
ORD10612,2024-03-17,,Hyderabad,Jaipur,Delhivery,Rail,WH-East,39.22,372.2,300.73,2.0,Delayed
ORD10154,2024-10-14,2024-10-17,Hyderabad,Ahmedabad,DHL,Road,WH-East,30.06,500.1,196.57,5.0,Delivered
ORD11012,2024-01-29,2024-02-04,Jaipur,Lucknow,BlueDart,Rail,WH-West,5.96,908.3,1713.1624686370337,5.0,Delivered
ORD10781,2024-05-05,2024-05-05,Hyderabad,Jaipur,BlueDart,Road,WH-Central,22.44,35.6,88.82,3.0,Delivered
ORD10682,2024-07-28,2024-08-01,Ahmedabad,Pune,Ekart,Road,WH-East,27.22,,318.82,4.0,Delivered
ORD10397,2024-04-25,2024-04-29,Lucknow,Chennai,Ekart,Road,WH-West,23.42,438.6,238.95,3.0,Delivered
ORD10785,2024-02-03,2024-02-08,Hyderabad,Kolkata,FedEx,Road,WH-East,47.55,436.3,300.25,5.0,Delivered
ORD10300,2024-04-24,2024-04-27,Hyderabad,Jaipur,DHL,Road,WH-South,,277.9,53.89,2.0,Delivered
ORD10894,2024-07-02,2024-07-05,Jaipur,Delhi,Delhivery,Road,WH-North,13.8,313.1,134.87,5.0,Delivered
ORD10708,2024-06-24,,Chennai,Kolkata,FedEx,Air,WH-South,36.71,138.8,207.36,,In Transit
ORD10225,2024-03-22,2024-04-07,Bengaluru,Pune,FedEx,Sea,WH-East,44.49,1536.9,330.67,5.0,Delivered
ORD10172,2024-08-16,2024-09-02,Jaipur,Hyderabad,  BlueDart  ,Sea,WH-South,57.47,1650.8,445.27,3.0,Delivered
ORD11053,2024-05-31,2024-06-04,Lucknow,Hyderabad,FedEx,Road,WH-West,10.91,467.9,153.66,4.0,Delivered
ORD10483,2024-11-03,2024-11-16,Hyderabad,Bengaluru,Ekart,Sea,WH-South,25.01,1129.0,197.16,5.0,Delivered
ORD10582,2024-07-11,,Jaipur,Mumbai,DHL,Road,WH-North,43.78,326.3,273.21,5.0,Delayed
ORD11188,2024-01-22,2024-01-26,Pune,Jaipur,Ekart,Road,WH-South,9.96,,191.75,5.0,Delivered
ORD10955,2024-05-26,2024-05-28,Delhi,Lucknow,DHL,Road,WH-South,14.34,322.6,136.24,4.0,Delivered
ORD10671,2024-08-20,,kolkata,Pune,  XpressBees  ,Road,WH-West,26.0,739.2,272.37,5.0,Delayed
ORD10063,2024-02-11,2024-02-14,Chennai,Lucknow,Ekart,Rail,WH-East,51.4,345.7,299.06,4.0,Delivered
ORD10450,2024-11-21,,Kolkata,Pune,DHL,Road,WH-West,45.72,625.6,321.03,1.0,Delayed
ORD10292,2024-10-26,2024-11-06,Pune,Chennai,DHL,Sea,WH-North,83.2,1024.6,538.76,4.0,Delivered
ORD10088,2024-03-30,,Mumbai,Pune,DHL,Air,WH-Central,20.15,109.2,112.28,5.0,Delayed
ORD11065,2024-09-06,,Mumbai,Pune,BlueDart,Road,WH-South,35.37,636.4,333.31,4.0,Cancelled
ORD10572,2024-07-11,2024-07-17,Kolkata,Chennai,DHL,Rail,WH-East,39.71,493.5,319.54,5.0,Delivered
ORD11154,2024-10-10,2024-10-11,Chennai,Ahmedabad,XpressBees,Air,WH-North,73.51,215.8,390.3,3.0,Delivered
ORD10726,2024-12-03,2024-12-08,Kolkata,Chennai,Delhivery,Road,WH-South,36.25,411.6,182.43,3.0,Delivered
ORD10643,2024-10-01,2024-10-20,Jaipur,Pune,Delhivery,Sea,WH-East,16.96,1260.6,233.52,3.0,Delivered
ORD10655,2024-07-21,2024-07-31,Mumbai,Kolkata,Delhivery,Sea,WH-Central,,859.6,187.28,1.0,Delivered
